appeal_text,language,campaign_type,overall_quality_score,quality_label,data_origin,source
"This is Sammy. He wandered in from the woods. He was skin and bones I tried to find his owner with no luck. He won my heart so I took him to the vet and found out he has heartworms. He is only about 18 months old and deserves to live a long life.
I am disabled and on a limited income. I started his first month of treatment but I cannot afford to continue treatment after this month. I'm asking for help to save this baby's life and give him a chance at a long life and knowing what it's like to be loved and part of a family",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Tonight right before my Tulsa Hot Girl Walk I was contacted by a close friend that a bucket of puppies and a mom were just left outside her apartment complex and she kindly let the finders put them in her backyard. 
I have checked on them, given food, and can say they all look good but need dewormed and 100% some TLC. 
Puppy Haven can not intake and all other rescues are on intake hold. 
ORR would love to help but we need the funds and I still am taking charge of the situation as of right now. I know we can work together to save / protect these dogs from being shuffled around. 
I have placed the gofund me at $600 for $100 per dog. This should help to start. 
but 5 puppies needing fully vaccinated, momma needing fully tested and fixed. It will cost more for sure. Any help is appreciated and if ANY rescue / transport / foster / adopter is interested 
PLEASE REACH OUT",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"It has been painful to watch the events unfold in the world. We show our support by flying the blue and yellow flag or boldly displaying the blue and yellow colors to show there’s strength in unity. Still, many of us wish we could do more. But how? There are animals in need of evacuation but lack the funding and means to do so. We have been working with Robert, a dedicated veterinarian, in hopes of saving some of these poor, forgotten souls left to fend for themselves. This is the harrowing story of a homeless litter of puppies and their mom as they struggle to survive amid a war-torn nation. A stray dog had a litter of 9 puppies on the streets of Kharkiv during the intense shelling in mid-August. In an outrageous act of callousness, a man entombed our mother alive in a concrete basement, sealing off any exits and the fate of my 3 siblings. However, Robert and his team came to their rescue, demolishing the concrete wall and bringing the mama dog and 6 surviving puppies to his clinic where they could recover. Because the mother dog was very weak, she didn’t have enough milk to feed her babies. So Robert selflessly bottle-fed them every 2 hours day and night. He stayed away from his own family to be with them in the clinic 24/7. But they have no future there, at least for now. To transport each one to NY will cost us $800. So with your generous donations, we hope to raise enough to fly 3 puppies (to start) to America, where we can show them the loving, safe life they truly deserve. Would you please help us save these innocent lives?",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"My name is Courtney. Our family owns WBARMINDIANA. We not only ride horses recreationally but WE HAVE SAVED 4 horses from slaughter this year from Indiana to Ohio to Kentucky to Texas. After we pick up the horses, we bring them back to our farm, quarantine, get them vetted & ridable to rehome. We also keep in touch with the new owners. However….
 We had a devastating accident with our rig & our trailer is totaled with no insurance. Only comprehensive on our truck. On our way to pick up a rescue. ….We plan to continue to rescue horses from slaughter starting back in February or sooner. We do not have the funds for even a used trailer to haul them & we recently found out that the roadside recovery will NOT BE COVERED AT ALL BY ANY INSURANCE, including environmental clean up. We are raising funds to help recover from this tragic accident & hopefully get WBARMINDIANA on the road again in the spring. Thank you",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"My name is Sara and I am fundraising for this little guy, Walter. He was found last summer wandering around Arizona in triple digit heat. He was abandoned and left to fend for himself. He’s got terrible arthritis, his hairs are a mess- but he’s Walter. He has overcome everything bad that’s ever happened to him and is the most resilient and happy little dude I have ever met. He never complains about anything. Which is why we didn’t realIze the mat on his tail was hiding an infection- we have no idea what happened to cause it. He is at the emergency vet right now, getting his butt shaved and the wound irrigated. We will use any funds collected to cover his ER costs and any follow-up care that he will need. This animal is a special being that deserves to be happy and healthy for the rest of his life. Any help is appreciated. Thank you!!",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"It feels strange to ask for help, but someone pointed out that we all like to help a good cause, and this sweet boy sure could use it.  
Last night we rescued this dog from a home in which the owners just WERE NOT FEEDING HIM… for months.. weeks… his whole life?  Possibly.  We got him to the vet first thing this morning and his rapt sheet of diagnoses is daunting to say the least.  
• He is extremely emaciated and malnourished.  He’s a Great Dane/lab mix and weighed in at only 53 pounds.  
• His white blood cell count is 4x what is should be due to a raging bacterial infection
• He came in with a fever of 105.6 due to the bacterial infection. 
• His platelet count is dangerously low-a potential fatal problem 
• His electrolytes are depleted from malnutrition
•He could barely get around and couldn’t even stand for any period of time
• And lastly, and maybe the most gut-wrenching diagnosis, his HEART HAS SHRUNK due to extreme dehydration. 
I know you’re thinking, my God, WTF is wrong with people?!  Believe me, we are too. But we have to focus our energy on this good boy and what we can do for him. There is HOPE!  He spent the day with the vet getting pumped full of liquids and medicine and all the care and the difference in his spirits and his appetite are giving us, and the medical staff, a lot of hope that he’s going to pull through!  His little heart will swell back to normal with time and fluids.  Antibiotics are battling the infection and anti inflammatories have brought his temperature down to normal.  We were so so happy to hear that he started eating again once his fever subsided!  Last night when we picked him up his appetite was shockingly non-existent and we thought he might have just given up.  He has decidedly perked up in the past 24 hours and we are very hopeful!  
This boy is so so sweet despite being treated so horribly.  He is just a big bucket of love. All of the staff at the vets office are already attached to him and they commented on how sweet he was despite feeling so awful.  
Hes not out of the woods yet but he is trying and has made good progress in the past 24 hours.  We have total faith one day he will be a nice healthy weight and will be able to run and play on the farm just like our girl Molly does.  The two of them are getting along fabulously and shared a bed last night <3 
If you feel moved to do so, please help us help this sweet boy get all better.  We definitely had no plans on getting a second dog when we woke up yesterday morning, let alone one that would need so much medical care, but what can you do?  
Thank you guys so much for any amount, big or small!  It means a lot of us and to all the neglected dogs out there!",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, my name is Joselyn. I'm a mother of two small children. My kids begged for a dog for so long so my husband and I decided to adopt Luna in April. We've loved her and played with her so much. She become a huge part of our family. However, on November 10th we noticed Luna was no longer eating, drinking or going to the bathroom. She sleeps all day and her energy has drastically decreased. We took her to the vet and was told that she is suffering from kidney failure. It is only a matter of time before she passes. Unless she gets the treatment that she needs. Unfortunately my family and I cannot afford it and would appreciate the help. Thank you so much for taking the time to read this.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, this is Luna, Luna Tuna. My SILs and the family's dog. Luna has not eaten for 2 days and started to decline fast! After bringing her to the emergency vet they needed a deposit of $3,800 just to keep her over night and another $1,200 to start a diagnosis. I'm asking for your help, for my brother and sister in law to help keep their family baby alive. This is a family member. She is an important part of their family and the kids are very upset having to leave her and not actually know what's going on yet. Anything you can do to help would be greatly appreciated! Please help us get Luna better so she can come home to her family ❤️ #dogsarefamily #helpsaveluna",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"My dear friends, Shad and Lourdes Ross, had their fur baby, Logan, get hit by a car. The car drove off, not stopping to offer any aid.
Logan has had an operation to save his leg. The cost will be $5,500. The funds you donate will pay for Logan's operation and any additional medical care.
God bless.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi neighbors! My name is Haley and I live on Linden street in Livermore California( we have the giving tree out front) I feed and trap the neighborhood strays independently with no rescue backing and have spayed/ neutered 15 so far. I have also adopted out 8 of the friendly ones. It now costs me $180 per cat as the discounted clinic I go to in Hayward has raised their prices and up until now I have paid all the costs out of my own pocket. I have tried other discounted clinics but cannot seem to find one with weekend availability ( I work full time) and usually they are booked months and months out. I have 5 cats and 1 dog myself and am starting to get overwhelmed with handling the spay costs on my own. Some of the cats I’ve taken to the vet have been diagnosed with FELV which is a very contagious disease that can be passed from the mother to the kittens and from one stray to another. So the sooner we can stop the reproducing, the better. I’m hoping to have the entire colony spayed by the start of the kitten season next year. No donation is too small, even if you donate $1 it will help. I have an appointment next Saturday to get two fixed and I would gladly send the vet receipts for anyone that is thinking about donating so you can have peace of mind that your money is going to the animals in need and not for my personal gain. Please see the go fund me link below, thank you so much for reading! Also would love any advice from others independents/ rescues that do TNR in Alameda county on where they go and how they afford it.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"On October 10th I found destiny half dead at the local shelter. I rushed her to the vet and they told me she needed a $1300 blood transfusion to live. I didn't have the money so I brought her home to at least get her warm and fed. I made a tiktok in the parking lot crying and so many wonderful people stepped up and donated over 6k so that Destiny could get the care she needed to survive. She defied the odds and after 5 days in the ER she came home and was doing great.  She stayed with me until November 9th when she went to her forever home with Brie and Wesley. 
Today on November 13th I got a call from Brie that Destiny is back in the ER with an enlarged kidney about to burst any minute.  She needs to see a specialist immediately to have it removed which will cost 10k and she's already racked up 5k in tests and supportive care at the ER vet. I know it's a huge ask, but if everyone who follows me could donate $15 we could save Destiny once again and hopefully for the last time! 
I thought about not telling you guys and just letting her go with grace, but I know you would want to know and help if you can. 
Thank you for reading. Hug your babies tight for me",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi. My name is Donna Magtibay. I am helping Danelle Magtibay and Craig Harting raise funds to bring a service dog named Walter home for their son, Shaun. Shaun has autism, ASD Level 3 and requires substantial support. He has a limited ability to interact socially with others, and his communication is assisted using a specialized computer. He also has a seizure disorder.
Service dogs are expensive and worth every penny. Walter is being explicitly trained to meet Shaun's special needs, including the ability to detect a seizure. When a person has a seizure, their body emits a unique scent that a trained service dog can detect up to ten minutes in advance. Walter will be trained to detect this scent and alert Shaun's parents, who can then work together with Walter to keep Shaun safe. Walter will also help increase Shaun's independence and keep him safe while doing daily activities in the community, such as going to a park, shopping, or walking in the neighborhood. People with autism often feel isolated. Walter will become Shaun's best friend and a bridge to the world around him.
We thank you so much for your donations. If we go over our goal, that money will be used for further service training and expenses needed to keep Walter healthy and happy.
Wishing you many blessings,
Danelle Magtibay and Craig Harting 
Donna Magtibay",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"First of all I appreciate your kind support and so does Nova. Nova is a 4 year old husky, golden retriever mix with a heart of gold. Otherwise very healthy and happy she suddenly fell ill this week. Unfortunately I’m currently unable to work due to my own physical and mental issues so at this time I’m unable to help my loving dog. It breaks my heart to see my energetic pup unable to get up. She hasn’t eaten in days and is unfortunately taking a turn for the worse. Please help me and Nova, thank you!",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi. My name is Cara and I am starting a fundraiser for our dear friend Katryn Schmidt and her beloved pets. On October 21st, Katryn's rent house burned down while she was at work. A faulty water heater. The firefighters responded quickly and were able to rescue her dog and two cats. Unfortunately, the smoke inhalation was too much for her dog Charlie to overcome. After 48 hours of veterinary treatment he passed away.
Her two cats, Swinky and LaRue are doing okay. They are still being treated as they are not eating or drinking after such a traumatic event.
If you know Katryn, you know that her animals mean the world to her. Even after losing everything, her biggest concern is her babies. The vet bills are extensive and ongoing. She has rescued countless animals and has paid for vet visits, vaccinations, spaying and neutering, heartworm treatments, and surgeries before finding them good homes. She has saved the lives of dozens of animals that have gone on to bring such joy to their new families.
As a community, I'd like for us to come together to help out our friend and her precious pets. Any donation would be appreciated and would go to the veterinary bills. Anything left over will go towards buying the things the cats will need after losing everything.",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Our family lost our Aunt Heidi on October 17th, 2022. She was 62 years old. I'm raising money to benefit a charity very close to her heart - the McCook Humane Society. Aunt Heidi loved animals, took in 2 rescue dogs and fed the feral cats in her neighborhood. May her love for animals and her desire to keep them safe continue on. Please donate to this vital charity.
More information about McCook Humane Society: Since 1983 the McCook Humane Society has provided a temporary home for puppies and kittens, as well as adult dogs and cats. They are dedicated to finding permanent, loving homes for abused, neglected, and abandoned animals in Southwest Nebraska and Northwest Kansas.
McCook Humane Society",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Please consider donating to support the effort to find sheltie, Halle, who went missing in Norcross, GA on October 24, 2022. All funds will be managed by the Shetland Sheepdog Club of Georgia and be distributed to cover costs associated with the search such as flyers, posters, yard signs, live traps, bait, food and water for volunteers. Any left over funds collected will be donated to the Sheltie Rescue of Georgia to support the Shetland Sheepdog Breed.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, my name is Cora Hartigan, and I am currently raising money to complete the heartworm treatment of a shelter dog named Bruce. Bruce is a very sweet and loving dog that is currently at Marion County Animal Shelter in SC. He was picked up and brought to the shelter with little known about his history. I had the pleasure of meeting him while volunteering at the shelter and fell absolutely in love with him. I even got to give him the name bruce. At $500, Heartworm treatments are very costly and a long process, so the shelter needs resources to help fund his treatment. Bruce is one of many dogs with heartworms out of the shelter's 100+ dogs. Heartworm disease is a serious and potentially fatal disease in pets in the United States and many other parts of the world. It is caused by foot-long worms (heartworms) that live in the heart, lungs and associated blood vessels of affected pets, causing severe lung disease, heart failure and damage to other organs in the body. Left untreated, this poor baby could potentially lose his life. The treatment process includes a series of injections followed by a month-long period of rest and limited exercise. Having this treatment gives bruce a great chance of being adopted and finally living the life he deserves. Any donations will help. Thank you for your kindness.",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, I'm Sara, a volunteer at Dekalb County Animal Services. This sweet, young pup, Buttery Biscuit, needs some help to see better days: She was found by Animal Enforcement tied up to a building a few days ago with infections, swelling in the groin, and in overall poor condition. As of 11/07/22, she is unable to pee on her own and vets believe something more serious may be in the way. Until and unless a rescue is able to pull her, her situation remains dire without more immediate diagnosis and treatment.  This fundraiser is to support the immediate intervention needed to diagnose Buttery Biscuit’s underlying medical issues and address them. Thank you so much for helping out! Please donate what you're able or share this fundraiser to help this sweet girl!",English,animal_welfare,5,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi, my name is Bricia. I am setting up this GoFundMe for my mother's cat, Cali. On Tuesday, October 4th, 2022, we took Cali to Bluepearl Monterey, considering that he had an apparent injury to the face. Cali had been missing for two days before returning home, which is very unlikely of him. Subsequently, after receiving care from the surgeon team at Bluepearl, a CT scan revealed that Cali's jaw had been broken on the right side and the joint area where the left jaw connects to the skull. The surgeon team believes Cali was hit by a car or was caused by blunt force trauma. The cause of injuries crushed a bit of the upper mount and caused some blood clotting in the nasal cavity. Out of all injuries sustained, the surgeon had said Cali would have a bit of a recovery time but would be able to heal fully and have a healthy life. 
The surgeon who took care of Cali at Bluepearl Monterey referred us to Dentistry for Animals in Aptos, considering that they would be able to assist Cali with his ""maxillofacial trauma"" further.  Animals of Dentistry was a great help. They performed the necessary procedure for the maxillofacial trauma and put Cali on a feeding tube to get the required nutrients during his recovery. 
My mother is not working; therefore, when I took charge of taking my mother's cat to the emergency vet, they told me Cali could live everyday life. I right away gave my care credit card to Bluepearl and Dentistry for Animals. Thanks to Carecredit, we could help Cali with the necessary help, but it resulted in me using $9,263.29. This does not include aftercare when they take out wires and redo X-rays to ensure he is healing correctly in a few weeks. 
I ask the community's HELP to help me pay the Carecredit fees I am now responsible for. Any amount you can spare to help me pay the credit? It would be greatly appreciated. It's been a crazy two weeks, and Cali is recovering finely. 
I'll share some before and after pictures to follow our journey with Cali.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"On October 31st, Sagan needed to be rushed to the emergency vet as she was extremely lethargic, struggling to stand and unable to eat. After countless diagnostic tests, she needed a life-saving blood transfusion, as her red blood cell count was extremely low. Sagan was suffering from severe anemia in addition to liver failure. She’s currently under observation and may need an additional transfusion while hospitalized. The cause of Sagan’s sudden illness is still being determined. Until her test results return, the veterinarian is hesitant to give us a clear idea about her chance of full recovery. Her red blood cell count is struggling to stabilize, but we’re hoping the treatment will continue to work with the slight improvement they’ve seen.
To anyone who knows Mike, Sagan is almost constantly by his side. Since the first time she jumped into his car out of the blue they’ve been out on the roads, on the trails, or out hanging around town living life. There’s never a person that Sagan doesn’t rush up to greet with her charming enthusiasm. Her positive energy is contagious among us.
This unexpected emergency has been overwhelming, and both Mike and Sagan could use a helping hand. Sagan’s veterinarian bill has already surpassed $7,800, and it’s expected to rise as her complete treatment plan gets worked out. We’re still unsure what the cause of her illness is, but we know that she will need immune suppressant drugs to support her body once the blood transfusions are complete. 
Sagan may not have much bark in her (right now), but she’s a fighter. Anything you can contribute to help Sagan continue the treatment she’s receiving, heal and recuperate is greatly appreciated. We’ll share updates on Sagan’s battle, and please share this so that the word spreads.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Yesterday, my four-year-old service dog Phoenix sadly got into my medications and chocolate on my nightstand. I am dependent on her for a lot of my daily needs. She is more than just a service dog to me. She has become a member of my family; I don't know what I would do without her. She’s currently in Bulger Veterinary Hospital. Her current bill is $3500. I need help. The next few hours are critical and will determine the length of her stay and rehabilitation. I don’t have anybody who could help; it would greatly be appreciated. God bless you all.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"OnFriday, October 21, 2022 Cindy Smith and her Chihuahua Katana were mauled by another dog in Leisurewood where both were injured.  Katana's injuries were life threatening consisting of numerous lacerations  1 required staples, 1 lost tooth, 2 cracked ribs, 2 broken ribs and a perforated lung.  Cindy sustained multiple punctures around her ear, stitches above her lip and on her arm while holding and trying to protect her dog during the entire incident.  In addition to vet bills, expenses have mounted daily for things like additional medications and blood clean up supplies, etc.   If you would like to contribute, it would be appreciated more than words can say.  We can't tell you enough how much your prayers and support mean to our family.  Thank you.
Ruth Ann Makin",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"My name is Averie and I am 9 years old. I want to help pets out there that are all alone and cold. I would really appreciate it if you could help me raise money to save pets for the holidays.  I am starting this GoFundMe with my allowance money.
Your donation will help me help League City Pets Alive save pets. We will use this money to buy toys, food, and medicine for the shelter pets.
Thank you for helping me save a little bit of the world.",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
"Hi! My name is Daisy… I am a 1 1/2 year old Corgi. The light of my moms life. 
I took a turn for the worst the other day when I was poisoned. I have been at the ER vet for close to 48 hours now. They are saying I am having kidney problems from being poisoned. They have had me on IV fluids and Meds. But, on a positive note I lifted my head today and was interested in what the vet was doing. So we are staying positive and hopeful that I am going to make a full recovery! ♥️ 
Sad note, My mom is 16 years old. She works a part time job… But, I know this hospital stay is very expensive. So maybe if you could find it in your heart to help my mom out, if you can… I know she’ll be crying happy tears instead of sad ones! Thank you in advance ♥️",English,animal_welfare,4,high,EXISTING_AUDITED_DATASET,MDCC_HUMAN_WRITTEN
