id,district,ds_division,gn_division,address,disaster_type,affected_families,affected_people
139,Nuwaraeliya,Ambagamuwa,Sellipigama,"Nagolla, Agaraoya, Abagamuwa",Landslide,4.0,17.0
140,Nuwaraeliya,Ambagamuwa,Sellipigama,"Abagamuwa, Udubulathgama",Landslide,2.0,8.0
141,Nuwaraeliya,Ambagamuwa,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1.0,5.0
142,Nuwaraeliya,Ambagamuwa,Watawala,"Templestore Janapadaya, Watawala",Landslide,1.0,4.0
143,Nuwaraeliya,Ambagamuwa,Watawala,"Gnananadagama, Watawala",Landslide,3.0,17.0
144,Nuwaraeliya,Ambagamuwa,Watawala,"Samanpura Janapadaya, Watawala",Landslide,1.0,5.0
145,Nuwaraeliya,Ambagamuwa,Waggama,"Udabage, Lakshapana",Landslide,1.0,7.0
146,Nuwaraeliya,Ambagamuwa,Morahenagama,"Morahenagama, Pitawala",Landslide,2.0,9.0
147,Nuwaraeliya,Ambagamuwa,Ambagamuwa East,"Ambalanowita, Abagamuwa",Landslide,2.0,11.0
148,Nuwaraeliya,Ambagamuwa,Habbakanda,"No 82, Horakada, Ginigathhena",Landslide,1.0,4.0
149,Nuwaraeliya,Ambagamuwa,Thiniyagala,"Hiriyapitiya, Ginigathhena",Landslide,1.0,4.0
150,Nuwaraeliya,Ambagamuwa,Thiniyagala,"Thiniyagala, Ginigathhena",Landslide,1.0,3.0
151,Nuwaraeliya,Ambagamuwa,Minuwandeniya,"Pitakanda, Hitigegama, Hatton",Landslide,7.0,42.0
152,Nuwaraeliya,Ambagamuwa,Dehigasthenna,"Dehigasthenna, Abathalawa, Ginigathhena",Landslide,1.0,4.0
153,Nuwaraeliya,Ambagamuwa,Dehigasthenna,"Abathalawa, Ginigathhena",Landslide,1.0,4.0
154,Nuwaraeliya,Ambagamuwa,Dehigasthenna,"Sirisewana, Abathalawa",Landslide,1.0,5.0
155,Nuwaraeliya,Ambagamuwa,Sellipigama,"Abagamuwa, Udubulathgama",Landslide,6.0,32.0
156,Nuwaraeliya,Ambagamuwa,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1.0,2.0
157,Nuwaraeliya,Ambagamuwa,Polpitiya,"Polpitiya, Pitawala",Landslide,4.0,25.0
158,Nuwaraeliya,Ambagamuwa,Ambagamuwa North,"Udapa Kotuwe Gedara, Abagamuwa",Landslide,1.0,4.0
159,Nuwaraeliya,Ambagamuwa,Ambagamuwa North,"Coolborn Watta, Abagamuwa, Udubulathgama",Landslide,1.0,2.0
160,Nuwaraeliya,Ambagamuwa,Ambagamuwa North,"Mahapathana, Abagamuwa, Udubulathgama",Landslide,4.0,18.0
161,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,4.0,22.0
162,Nuwaraeliya,Ambagamuwa,Ambagamuwa  South,"No 03 Part, Kenilworth Watta",Landslide,3.0,45.0
163,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Abagamuwa Market Street, Abagamuwa, Udubulathgama",Landslide,1.0,5.0
164,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,4.0,21.0
165,Nuwaraeliya,Ambagamuwa,Rampadeniya,"Hathlaha, Giniathhena",Landslide,1.0,2.0
166,Nuwaraeliya,Ambagamuwa,Rampadeniya,"No 01, Keniworth watta, Ginigathhena",Landslide,6.0,68.0
167,Nuwaraeliya,Ambagamuwa,Polpitiya,"Polpitiya, Pitawala",Landslide,1.0,4.0
168,Nuwaraeliya,Ambagamuwa,Habbakanda,"Horakada, Ginigathhena",Landslide,1.0,5.0
169,Nuwaraeliya,Ambagamuwa,Gonawala,"Gonawala, Ginigathhena",Landslide,1.0,6.0
170,Nuwaraeliya,Ambagamuwa,Morahenagama,"Morahenagama, Pitawala",Landslide,1.0,5.0
171,Nuwaraeliya,Ambagamuwa,Waggama,"Waggama, Morahenagama, Hatton",Landslide,1.0,4.0
172,Nuwaraeliya,Ambagamuwa,Lakshapana,"Lakshapana, Nortonbridge",Landslide,1.0,3.0
173,Nuwaraeliya,Ambagamuwa,Dehigasthenna,"77, Kadusirigama, Abathalawa, Ginigathhena",Landslide,1.0,7.0
174,Nuwaraeliya,Ambagamuwa,Millagamula,"Sadasirigama, Millagamula, Pitawala",Landslide,1.0,6.0
175,Nuwaraeliya,Ambagamuwa,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1.0,5.0
176,Nuwaraeliya,Ambagamuwa,Homagama,"Homagama, Kalaweldeniya",Landslide,1.0,5.0
177,Nuwaraeliya,Ambagamuwa,Habbakanda,"Habbakanda, Ginigathhena",Landslide,2.0,10.0
178,Nuwaraeliya,Ambagamuwa,Polpitiya,"Polpitiya, Pitawala",Landslide,1.0,1.0
179,Nuwaraeliya,Ambagamuwa,Widulipura South,"Babaragala, Norton Bridge",Landslide,3.0,19.0
180,Nuwaraeliya,Ambagamuwa,Koththallena,"Aluoya Janapadaya, Widulipura",Landslide,1.0,3.0
181,Nuwaraeliya,Ambagamuwa,Kiriwaneliya,"3 Kanuwa, Lakshapana",Landslide,1.0,5.0
182,Nuwaraeliya,Ambagamuwa,Lakshapana,"Weralugasthenna, Lakshapana",Landslide,1.0,4.0
183,Nuwaraeliya,Ambagamuwa,Minuwandeniya,"Gowalwatta, Htigegama, Hatton",Landslide,1.0,4.0
184,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,1.0,5.0
185,Nuwaraeliya,Ambagamuwa,Gonawala,"257/1, Kotahela Janapadaya, Ginigathhena",Landslide,1.0,6.0
186,Nuwaraeliya,Ambagamuwa,Habbakanda,"Habbakanda, Ginigathhena",Landslide,1.0,4.0
187,Nuwaraeliya,Ambagamuwa,Hitigegama,"Galapalhena, Hagarapitiya, Hatton",Landslide,1.0,4.0
188,Nuwaraeliya,Ambagamuwa,Rampadeniya,"Hathlaga, Warakagahamula",Landslide,1.0,6.0
189,Nuwaraeliya,Ambagamuwa,Widulipura south,"Babaragala, Norton Bridge",Landslide,1.0,4.0
190,Nuwaraeliya,Ambagamuwa,Millagahamula,"Kadusirigama, Dillagahamula",Landslide,1.0,5.0
191,Nuwaraeliya,Ambagamuwa,Kalaweldeniya,"Kalaweldeniya, Ginigathhena",Landslide,1.0,4.0
192,Nuwaraeliya,Ambagamuwa,Waggama,"Mawussawatta, Lakshapana",Landslide,1.0,5.0
193,Nuwaraeliya,Ambagamuwa,Watawala,"Samanpura Janapadaya, Watawala",Landslide,1.0,5.0
194,Nuwaraeliya,Ambagamuwa,Watawala,"Templestore Janapadaya, Watawala",Landslide,2.0,15.0
195,Nuwaraeliya,Ambagamuwa,Sellipigama,"D 23 Abagamuwa, Udubulathgama",Landslide,1.0,7.0
196,Nuwaraeliya,Ambagamuwa,Sellipigama,"Nagolla, Agaraoya, Abagamuwa",Landslide,1.0,5.0
197,Nuwaraeliya,Ambagamuwa,Sellipigama,"Agaraoya, Abagamuwa, Udubulathgama",Landslide,1.0,4.0
198,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Abagamuwa, Udubulathgama",Landslide,1.0,6.0
199,Nuwaraeliya,Ambagamuwa,Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,1.0,5.0
200,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Ambagamuwa, Udubulathgama",Landslide,1.0,4.0
201,Nuwaraeliya,Ambagamuwa,Sellipigama,"New St Clive Janapadaya, Abagamuwa, Udubulathgama",Landslide,1.0,5.0
202,Nuwaraeliya,Ambagamuwa,Ambagamuwa South,"Bagathuluwa, Ginigathhena",Landslide,1.0,5.0
203,Nuwaraeliya,Ambagamuwa,Kalaweldeniya,"Aberdine 2, Widulipura",Landslide,1.0,4.0
204,Nuwaraeliya,Ambagamuwa,Dagampitiya,"Dewalagama, Pallewatta, Pitawala",Landslide,1.0,5.0
205,Nuwaraeliya,Ambagamuwa,Ambagamuwa East,"Wewalthalawa, Abagamuwa",Landslide,1.0,5.0
206,Nuwaraeliya,Ambagamuwa,Ambagamuwa North,"Coolborn Road, Abagamuwa, Udubulathgama",Landslide,1.0,4.0
207,Nuwaraeliya,Ambagamuwa,Kalugala,"Yatiberiya, Pitawla",Landslide,1.0,6.0
208,Nuwaraeliya,Ambagamuwa,Kalugala,"Pitawala, Nawalapitiya",Landslide,1.0,6.0
209,Nuwaraeliya,Ambagamuwa,Dagampitiya,"Kaluduriyapaluwa, Pallewatta, Pitawala",Landslide,1.0,5.0
210,Nuwaraeliya,Ambagamuwa,Kalugala,"Kalugala, Pitawala, Nawalapitiya",Landslide,1.0,7.0
211,Nuwaraeliya,Ambagamuwa,Habbakanda,"Habbakanda, Ginigathhena",Landslide,1.0,6.0
212,Nuwaraeliya,Ambagamuwa,Jambuthenna,"Gadumawatta, Koththalhena, Hatton",Landslide,1.0,5.0
213,Nuwaraeliya,Ambagamuwa,Dehigasthenna,"New house, Abathalawa, Ginigathhena",Landslide,1.0,7.0
214,Nuwaraeliya,Ambagamuwa,Widulipura South,"Hatton Road, Nortonbridge",Landslide,1.0,5.0
215,Nuwaraeliya,Ambagamuwa,Waggama,"Haddala, Morahenagama",Landslide,1.0,5.0
216,Nuwaraeliya,Ambagamuwa,Ginigathhena,"Kadawawatta, Watawala",Landslide,2.0,15.0
217,Nuwaraeliya,Ambagamuwa,Watawala,"Agarawatta, Watawala",Landslide,1.0,7.0
218,Nuwaraeliya,Ambagamuwa,Jambuthenna,"Muruthathenna, Koththallena, Hatton",Landslide,1.0,6.0
219,Nuwaraeliya,Ambagamuwa,Dagampitiya,"Nilawatta, Pallewatta, Pitawala",Landslide,1.0,6.0
220,Nuwaraeliya,Ambagamuwa,Watawala,"101 Janapadaya, Watawala",Landslide,1.0,5.0
221,Nuwaraeliya,Ambagamuwa,Widulipura North,"Taplo Janapadaya, Widulipura, North",Landslide,1.0,9.0
222,Nuwaraeliya,Ambagamuwa,Polpitiya,"Polpitiya, Hatton",Landslide,1.0,6.0
223,Nuwaraeliya,Ambagamuwa,314 Ambagamuwa South,"Bagathuluwa, Ginigathhena",Landslide,5.0,30.0
224,Nuwaraeliya,Ambagamuwa,314 Ambagamuwa South,"Mandaladeniya, Abagamuwa",Landslide,2.0,14.0
225,Nuwaraeliya,Ambagamuwa,314 Ambagamuwa South,"Ambagamuwa, Market Street",Landslide,4.0,26.0
226,Nuwaraeliya,Ambagamuwa,314 Ambagamuwa South,"Abagawwa, Udubulathgama",Landslide,1.0,5.0
227,Nuwaraeliya,Ambagamuwa,314 Ambagamuwa South,"Mandaladeniya, Abagamuwa",Landslide,2.0,11.0
228,Nuwaraeliya,Ambagamuwa,314 Ambagamuwa South,"Ambagamuwa Village, Abagamuwa, Udupulathgama",Landslide,1.0,8.0
229,Nuwaraeliya,Ambagamuwa,314 A Ambagamuwa East,"Panvilagodella, Abagamuwa, Udubulathgama",Landslide,1.0,7.0
230,Nuwaraeliya,Ambagamuwa,314 B Abagamuwa North,"Ambagamuwa, Udubulathgama",Landslide,12.0,73.0
231,Nuwaraeliya,Ambagamuwa,314 C Sellipigama,Sellipigama,Landslide,1.0,9.0
